index,label,mean_chi,mean_ct,mean_r2s,subject,var_R2s_Hz,var_chi_Hz,var_ct,ROI
1,2,0.035120880886505224,331.01014108368844,114.25334058496576,2,252.29206088266255,0.007142087037486682,439.8894876630802,1
2,2,-0.4193750845172871,482.3383798310251,149.31829904769916,2,485.20360101054393,0.022621571310713046,4147.83868984392,1
3,3,-0.8004917565338484,514.4220600743448,159.4487717826277,2,891.2501612867151,0.02469168117787888,2115.5776203620558,1
4,4,-0.5192008690630509,389.6246171431108,137.83115787513165,2,224.04181011243782,0.01072308349375567,1593.0103477652883,1
5,5,-0.46245329149086917,447.81383260091144,148.31351936338515,2,293.4327513562457,0.009592901535352694,642.3338839456846,1
6,6,-0.1987526352901193,375.3063493208452,133.49284227394966,2,233.65427649389312,0.004000613247785792,1059.3762871139916,1
7,7,-0.30122465492772454,398.966181899562,144.24015401424674,2,346.68731985475097,0.029065917915301345,3187.3499188877176,1
8,8,-0.8994748824183754,473.7385290897254,163.97093426924727,2,857.3287416269632,0.0037850615792413,1439.081208275922,1
9,9,-0.5415841020650782,394.58412031693894,140.43056435081405,2,362.875613295746,0.0051896349236630335,694.3965304096928,1
10,10,-0.3360128849259181,354.7533042214134,139.8921093859237,2,744.9953633912919,0.0017237047752774598,758.1290154858289,1
11,11,0.31545354607154774,181.0286287006579,70.04228332491664,2,78.34448666794196,0.005070443705044281,419.3422389670533,2
12,12,-0.01443395329509879,243.08092940481086,86.3387464733682,2,255.1317058259249,0.0015548885038302906,779.5760860465317,2
13,13,-0.11714763788250036,182.9703947368421,91.82594657755388,2,105.68471405120466,0.006305573050014953,175.01087828020016,2
14,14,0.1942467763680713,170.7731764943976,72.84645881252179,2,95.23866842967462,0.0019474804996600609,294.02819892974884,2
15,15,0.046026031967662306,160.74778694018983,69.91305965759801,2,138.3646160585361,0.001024177935722972,172.71011415543867,2
16,16,0.003715397879444537,149.92451249507437,76.11818538373718,2,95.89944124257143,0.0018606872815332312,151.32290540758237,2
17,17,0.34752464950842543,163.40600023771586,110.54737739122322,2,613.4673179627092,0.006053665592430257,454.199473384431,2
18,18,-0.07499785813974344,106.11536474395217,61.34354675586491,2,218.96528841043255,0.0012067349648011308,149.11877622106113,2
19,19,0.036719513877880014,142.078212202641,71.15890190343883,2,103.517692489839,0.0330866761810847,444.6648065220169,2
1,1,-0.6366740984180945,529.0359919621394,175.32888036426934,1,363.0415034561577,0.02583650063559807,2453.363460915114,1
2,2,-0.6579979520628227,499.2378117487981,213.39459686743982,1,325.49574124450965,0.007347678570611144,2213.349210425035,1
3,3,-0.20614904107520948,355.77205716646637,161.5256242652314,1,227.88372464048197,0.028715343459043686,1451.2491797477153,1
4,4,-0.5141620781513975,372.97991239107574,151.5896171517652,1,565.2757500214594,0.012161463187590512,2568.22120187037,1
5,5,-0.9140042991678473,438.88501524313904,147.42118667437796,1,510.066581489987,0.011927437041449414,604.6000667719269,1
6,6,-0.6883795180494089,493.34569451747797,168.44523157793452,1,808.6614117962431,0.026454186010828506,3719.1664961075508,1
7,7,-1.0119346425265092,366.66387939453125,167.6174167454136,1,421.8419777533517,0.03403183067224073,1049.0500180704616,1
8,8,-0.38341368511142254,388.8226826985677,147.19537248067698,1,166.9129627481973,0.03293361526545325,1145.5106280503892,1
9,9,-0.3839570270053075,231.76816930526343,99.29570489775914,1,139.67362372292126,0.006606392398802685,978.9500437859373,1
10,10,-0.031874655232254,174.93796676244492,97.35672665200214,1,278.22276199860255,0.019906866603114037,989.6082169339367,1
11,11,-0.3266851056225031,216.5670662904397,114.06648278355543,1,143.58989310390498,0.00861795432707344,198.4886913892666,2
12,12,-0.1527759477023782,190.01158181214944,85.66638607293255,1,62.651949915615226,0.0020808974221900984,262.24178117672346,2
13,13,-0.36406260015373765,215.5189482860076,102.732296385071,1,201.2295458987631,0.0036191176734537804,104.54175643418229,2
14,14,-0.18774926149183715,144.76985598833133,91.15639183053024,1,134.94002667842832,0.004720292250174977,253.71950600266848,2
15,15,-0.15007237072719967,112.08989774263821,83.32515644490398,1,140.35554925207123,0.0031395712491509883,44.219885581438,2
16,16,-0.2887705030881758,231.54378529084033,119.67100835802987,1,90.03321511837912,0.011988460097026027,286.6427674084338,2
17,17,-0.3158160125115402,161.15809357471954,83.10470838093103,1,90.97128582630754,0.003075145556570385,277.3690008105998,2
18,18,-0.3133189728211473,235.74179116273538,132.2252173938287,1,167.7428315995831,0.0017526326463185946,153.46063669111678,2
19,19,-0.43296610689633597,223.2839155930739,140.71511198756545,1,160.40971474831704,0.005274888407459132,118.88167601507034,2
20,20,-0.32245117428516523,163.51621461525943,82.39249399701129,1,86.69012289249191,0.0020207120489141744,132.1894910853834,2
