index,label,mean_chi,mean_ct,mean_r2s,subject,var_R2s_Hz,var_chi_Hz,var_ct,ROI
1,1,-0.09355341070751144,331.01014108368844,114.25334058496576,2,252.29206088266255,0.006892237752259535,439.8894876630802,1
2,2,-0.5103318098371225,482.3383798310251,149.31829904769916,2,485.20360101054393,0.0213174024576262,4147.83868984392,1
3,3,-1.1147229309603146,514.4220600743448,159.4487717826277,2,891.2501612867151,0.003992122103203144,2115.5776203620558,1
4,4,-0.8387820469627715,389.6246171431108,137.83115787513165,2,224.04181011243782,0.01514659404594032,1593.0103477652883,1
5,5,-0.7108678936474836,447.81383260091144,148.31351936338515,2,293.4327513562457,0.008591516042697811,642.3338839456846,1
6,6,-0.26113821216803884,375.3063493208452,133.49284227394966,2,233.65427649389312,0.0005863516401637403,1059.3762871139916,1
7,7,-0.41040027085654157,398.966181899562,144.24015401424674,2,346.68731985475097,0.027157111150535096,3187.3499188877176,1
8,8,-1.1689757616498946,473.7385290897254,163.97093426924727,2,857.3287416269632,0.004709197825605527,1439.081208275922,1
9,9,-0.8295785085519913,394.58412031693894,140.43056435081405,2,362.875613295746,0.004921336417286315,694.3965304096928,1
10,10,-0.4535920578881469,354.7533042214134,139.8921093859237,2,744.9953633912919,0.0067350422405823285,758.1290154858289,1
11,11,0.29866788798299754,181.0286287006579,70.04228332491664,2,78.34448666794196,0.0020340385653181414,419.3422389670533,2
12,12,0.02341969434062113,243.08092940481086,86.3387464733682,2,255.1317058259249,0.002100986355841363,779.5760860465317,2
13,13,-0.1183879368571565,182.9703947368421,91.82594657755388,2,105.68471405120466,0.0030418622632663495,175.01087828020016,2
14,14,0.1864776233975551,170.7731764943976,72.84645881252179,2,95.23866842967462,0.0004568703013301613,294.02819892974884,2
15,15,0.07210241014635076,160.74778694018983,69.91305965759801,2,138.3646160585361,0.0008895481241371647,172.71011415543867,2
16,16,-0.04492072617472336,149.92451249507437,76.11818538373718,2,95.89944124257143,0.0013781813262938516,151.32290540758237,2
17,17,0.19291035592343594,163.40600023771586,110.54737739122322,2,613.4673179627092,0.002221702996784853,454.199473384431,2
18,18,-0.09523392038273423,106.11536474395217,61.34354675586491,2,218.96528841043255,0.0002956243684493943,149.11877622106113,2
19,19,0.10374420644084402,142.078212202641,71.15890190343883,2,103.517692489839,0.01615194128617785,444.6648065220169,2
1,1,-0.4266931036521186,529.0359919621394,175.32888036426934,1,363.0415034561577,0.0012127696318064284,2453.363460915114,1
2,2,-0.4360382835300749,499.2378117487981,213.39459686743982,1,325.49574124450965,0.000251374660649617,2213.349210425035,1
3,3,-0.26970485257183063,355.77205716646637,161.5256242652314,1,227.88372464048197,0.0025947246446968645,1451.2491797477153,1
4,4,-0.352150188148509,372.97991239107574,151.5896171517652,1,565.2757500214594,0.0004841627809237686,2568.22120187037,1
5,5,-0.45385896957646665,438.88501524313904,147.42118667437796,1,510.066581489987,0.0006326675254787648,604.6000667719269,1
6,6,-0.4283010921279464,493.34569451747797,168.44523157793452,1,808.6614117962431,0.000900204543000438,3719.1664961075508,1
7,7,-0.4638758628470417,366.66387939453125,167.6174167454136,1,421.8419777533517,0.0010677148518394998,1049.0500180704616,1
8,8,-0.3598259180644988,388.8226826985677,147.19537248067698,1,166.9129627481973,0.0018198786706570796,1145.5106280503892,1
9,9,-0.28729987235051907,231.76816930526343,99.29570489775914,1,139.67362372292126,0.00015483475941526303,978.9500437859373,1
10,10,-0.16881186120740144,174.93796676244492,97.35672665200214,1,278.22276199860255,0.0019560197269653874,989.6082169339367,1
11,11,-0.11248912446964067,216.5670662904397,114.06648278355543,1,143.58989310390498,0.00044827547428569935,198.4886913892666,2
12,12,-0.05533298026622363,190.01158181214944,85.66638607293255,1,62.651949915615226,0.0002662924063941879,262.24178117672346,2
13,13,-0.1332602313279886,215.5189482860076,102.732296385071,1,201.2295458987631,0.0003531997973506737,104.54175643418229,2
14,14,-0.05459714715900742,144.76985598833133,91.15639183053024,1,134.94002667842832,0.0009053095580849068,253.71950600266848,2
15,15,-0.05968436140114363,112.08989774263821,83.32515644490398,1,140.35554925207123,0.0003602206896010907,44.219885581438,2
16,16,-0.1239755768107042,231.54378529084033,119.67100835802987,1,90.03321511837912,0.001112617125052445,286.6427674084338,2
17,17,-0.09468413698932336,161.15809357471954,83.10470838093103,1,90.97128582630754,0.00038920886579629776,277.3690008105998,2
18,18,-0.11866253343869977,235.74179116273538,132.2252173938287,1,167.7428315995831,7.966711983188674e-05,153.46063669111678,2
19,19,-0.1430670189549823,223.2839155930739,140.71511198756545,1,160.40971474831704,0.0013181377679543755,118.88167601507034,2
20,20,-0.05596572464849739,163.51621461525943,82.39249399701129,1,86.69012289249191,0.00014132797062405074,132.1894910853834,2
