# R^2: 0.8840653433402983
# Optimal Parameters: (0.00015022218117194278+/-1.3173142385360612e-05,)
x	y	px	py	std	CIupper	CIlower
5	0.03744312252746257	5.0	0.018777772646492847	0.0016466427981700765	0.022005192530906197	0.015550352762079497
7	0.09730230522191523	7.4	0.06087363314321935	0.005338073449965369	0.07133625710515147	0.05041100918128723
10	0.2468325278282107	9.8	0.1413879151415832	0.012398456227962328	0.16568888934838935	0.11708694093477703
12	0.36891702048525904	12.2	0.2727806472367099	0.023920424254172293	0.31966467877488763	0.22589661569853223
15	0.5522321193362575	14.6	0.4675118580237253	0.040996610650606634	0.5478652148989143	0.3871585011485363
17	0.6451795433618839	17.0	0.7380415760977549	0.06471964853927668	0.8648920872347372	0.6111910649607726
