# R^2: 0.8863388256531248
# Optimal Parameters: (0.00018496785029333183+/-1.60764763291331e-05,)
x	y	px	py	std	CIupper	CIlower
5	0.046014022827148435	5.0	0.023120981286666478	0.0020095595411416373	0.027059717987304086	0.01918224458602887
7	0.11939990520477295	7.4	0.0749534121672651	0.006514574043996631	0.0877219772934985	0.06218484704103171
10	0.30283432006835936	9.8	0.17409026095328162	0.015131050909169443	0.20374712073525372	0.1444334011713095
12	0.45296216011047363	12.2	0.33587350101944596	0.029192437389303674	0.3930906783024812	0.27865632373641075
15	0.6795609951019287	14.6	0.5756451057404885	0.050032180737042964	0.6737081799850928	0.47758203149588435
17	0.7953850507736206	17.0	0.9087470484911393	0.07898372820503091	1.0635551557729999	0.7539389412092787
